datetime,pm25,pm10,no2,o3,so2,co,aod,dust,temp,humidity,wind_spd,wind_dir,wind_gust,pressure,precip,cloud,blh
2024-01-01 00:00:00,21.6,31.2,32.5,61.0,41.7,768.0,0.15,0.0,-0.3,64,0.91,96,2.1,928.4,0.0,94,20.0
2024-01-01 01:00:00,18.7,27.1,26.3,68.0,25.3,653.0,0.15,0.0,-0.6,64,1.43,65,2.8,927.8,0.0,95,20.0
2024-01-01 02:00:00,16.5,23.9,21.3,73.0,14.1,561.0,0.15,0.0,-1.0,63,1.3,90,3.1,927.4,0.0,93,25.0
2024-01-01 03:00:00,14.9,21.6,17.6,78.0,9.1,488.0,0.13,0.0,-0.9,62,1.1,90,3.2,926.8,0.0,80,25.0
2024-01-01 04:00:00,13.7,19.9,15.0,81.0,9.2,438.0,0.12,0.0,-0.5,59,0.95,72,3.2,926.0,0.0,76,25.0
2024-01-01 05:00:00,12.9,18.7,14.6,82.0,12.0,445.0,0.08,0.0,-0.8,58,1.48,62,3.3,925.6,0.0,76,
2024-01-01 06:00:00,13.6,19.8,20.7,75.0,22.1,588.0,0.07,0.0,-1.4,54,1.32,99,3.0,925.6,0.0,40,
2024-01-01 07:00:00,20.8,30.0,29.0,66.0,36.3,790.0,0.07,1.0,-0.6,53,1.7,40,3.0,925.6,0.0,35,
2024-01-01 08:00:00,29.0,41.9,35.3,61.0,48.5,972.0,0.07,1.0,-0.6,53,1.84,22,3.1,925.4,0.0,33,
2024-01-01 09:00:00,34.7,49.9,37.5,64.0,55.8,1129.0,0.07,1.0,-1.2,65,2.18,16,3.0,925.0,0.0,37,
2024-01-01 10:00:00,39.0,56.1,37.5,71.0,61.2,1267.0,0.07,1.0,-0.2,68,1.81,6,3.2,925.0,0.0,30,
2024-01-01 11:00:00,38.4,55.4,37.0,81.0,66.8,1323.0,0.07,1.0,0.2,74,2.21,5,3.7,924.2,0.0,20,
2024-01-01 12:00:00,37.5,54.0,35.4,97.0,72.8,1225.0,0.07,1.0,0.6,75,1.84,13,4.0,923.6,0.0,7,
2024-01-01 13:00:00,31.1,44.9,33.2,115.0,79.0,1046.0,0.07,1.0,0.9,80,1.17,20,3.8,922.7,0.0,1,
2024-01-01 14:00:00,29.9,43.3,33.6,122.0,88.1,941.0,0.08,1.0,0.8,86,0.86,36,3.4,922.3,0.0,0,
2024-01-01 15:00:00,37.4,54.1,39.7,110.0,105.1,1007.0,0.08,1.0,0.2,82,1.39,69,2.9,921.6,0.0,0,
2024-01-01 16:00:00,42.7,61.7,48.4,88.0,124.9,1148.0,0.09,1.0,0.1,72,1.68,73,3.9,921.2,0.0,1,
2024-01-01 17:00:00,36.2,52.9,49.3,54.0,42.5,1102.0,0.1,2.0,0.9,63,1.44,56,3.7,921.4,0.0,10,
2024-01-01 18:00:00,34.6,50.4,48.4,49.0,45.1,1149.0,0.09,2.0,2.2,58,1.1,90,2.6,921.2,0.0,59,
2024-01-01 19:00:00,30.9,45.1,47.2,43.0,48.4,1211.0,0.09,1.0,2.2,50,1.5,90,2.7,920.7,0.0,92,
2024-01-01 20:00:00,33.5,48.8,46.2,39.0,49.5,1240.0,0.09,1.0,2.0,45,1.5,90,3.3,920.4,0.0,81,
